"id","product_id","vendor_name","facility_location","processing_days","output_quantity","production_expenses","logistics_provider","shipping_method","freight_charges","quality_score","reorder_point","warehouse_zone","sustainability_index","created_at","updated_at"
2,"P-7002","Supplier 1","Chennai",18,800,"15.25","Carrier A","Air","567.80","9.2",150,"Zone-B",92,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
3,"P-7003","Supplier 5","Mumbai",14,450,"12.50","Carrier C","Road","234.25","7.8",300,"Zone-C",78,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
4,"P-7004","Supplier 2","Delhi",21,950,"25.80","Carrier B","Sea","678.90","9.5",100,"Zone-A",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
5,"P-7005","Supplier 4","Kolkata",10,300,"6.45","Carrier A","Rail","189.75","8.1",400,"Zone-B",82,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
6,"P-7006","Supplier 3","Bangalore",16,600,"16.75","Carrier C","Air","456.30","8.9",250,"Zone-C",90,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
7,"P-7007","Supplier 1","Chennai",13,850,"12.25","Carrier B","Road","512.40","7.5",350,"Zone-A",79,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
8,"P-7008","Supplier 5","Mumbai",19,500,"32.50","Carrier A","Rail","298.65","9.3",120,"Zone-B",94,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
9,"P-7009","Supplier 2","Delhi",15,1100,"10.80","Carrier C","Sea","745.20","8.4",280,"Zone-C",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
10,"P-7010","Supplier 4","Kolkata",22,400,"18.45","Carrier B","Air","156.90","7.9",320,"Zone-A",81,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
11,"P-7011","Supplier 3","Bangalore",11,750,"14.75","Carrier A","Road","423.80","8.6",180,"Zone-B",87,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
12,"P-7012","Supplier 1","Chennai",17,950,"24.90","Carrier C","Rail","589.45","9.1",140,"Zone-C",91,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
13,"P-7013","Supplier 5","Mumbai",9,280,"8.25","Carrier B","Sea","198.30","7.2",380,"Zone-A",76,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
14,"P-7014","Supplier 2","Delhi",20,620,"20.50","Carrier A","Air","678.15","8.8",220,"Zone-B",89,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
15,"P-7015","Supplier 4","Kolkata",14,880,"11.45","Carrier C","Road","167.80","8.3",260,"Zone-C",84,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
16,"P-7016","Supplier 3","Bangalore",23,520,"28.75","Carrier B","Rail","456.90","9.4",110,"Zone-A",93,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
17,"P-7017","Supplier 1","Chennai",16,1150,"9.80","Carrier A","Sea","712.35","8.0",300,"Zone-B",83,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
18,"P-7018","Supplier 5","Mumbai",19,380,"17.25","Carrier C","Air","223.40","7.7",340,"Zone-C",80,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
19,"P-7019","Supplier 2","Delhi",12,720,"15.50","Carrier B","Road","645.80","8.5",190,"Zone-A",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
20,"P-7020","Supplier 4","Kolkata",17,920,"26.80","Carrier A","Rail","234.75","9.0",130,"Zone-B",90,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
21,"P-7021","Supplier 3","Bangalore",24,310,"7.25","Carrier C","Sea","512.60","7.3",420,"Zone-C",77,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
22,"P-7022","Supplier 1","Chennai",13,580,"21.45","Carrier B","Air","589.20","8.7",240,"Zone-A",85,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
23,"P-7023","Supplier 5","Mumbai",15,860,"13.75","Carrier A","Road","345.90","7.9",330,"Zone-B",82,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
24,"P-7024","Supplier 2","Delhi",18,480,"30.80","Carrier C","Rail","678.45","9.2",160,"Zone-C",92,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
25,"P-7025","Supplier 4","Kolkata",20,1050,"11.25","Carrier B","Sea","189.60","8.2",270,"Zone-A",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
26,"P-7026","Supplier 3","Bangalore",11,350,"24.50","Carrier A","Air","456.75","8.9",200,"Zone-B",89,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
27,"P-7027","Supplier 1","Chennai",22,780,"13.90","Carrier C","Road","523.40","7.6",360,"Zone-C",81,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
28,"P-7028","Supplier 5","Mumbai",16,940,"17.80","Carrier B","Rail","298.15","8.8",150,"Zone-A",87,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
